season,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,plusMinus,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,team.name,team.link,team.id,team.abbreviation,team.teamName,team.locationName,team.firstYearOfPlay,team.shortName,team.officialSiteUrl,team.franchiseId,team.active,team.venue.id,team.venue.name,team.venue.link,team.venue.city,team.venue.timeZone.id,team.venue.timeZone.offset,team.venue.timeZone.tz,team.division.id,team.division.name,team.division.link,team.division.nameShort,team.division.abbreviation,team.conference.id,team.conference.name,team.conference.link,team.franchise.franchiseId,team.franchise.teamName,team.franchise.link,league.name,league.link,league.id
20012002,62925,13,11,0,7,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dartmouth Subways,/api/v1/teams/null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSU18MHL,/api/v1/league/null,NA
20032004,1,9,7,10,9,10,16,00:00,00:00,00:00,0,00:00,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QMJHL,/api/v1/league/15,15
20042005,1,17,14,16,13,16,31,00:00,00:00,00:00,0,00:00,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QMJHL,/api/v1/league/15,15
20042005,3,5,6,6,5,6,11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M-Cup,/api/v1/league/15,15
20062007,1,2,3,4,5,4,5,108:20,32:26,75:52,52.59,00:02,0,128,20,7,1,2,15,1,0,0,0,2,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20072008,1,21,6,12,20,12,27,413:55,96:45,313:41,48.95,03:29,7,520,59,17,2,14,10.17,1,0,0,0,8,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20082009,1,16,15,14,24,14,31,499:29,115:52,379:41,53.02,03:56,9,570,79,20,5,10,18.99,2,0,0,0,18,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20092010,1,13,6,6,13,6,19,305:51,75:39,226:03,55.96,04:09,6,333,41,17,1,9,14.63,1,0,0,0,4,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20112012,1,5,3,9,6,9,8,123:41,32:30,90:40,54.81,00:31,-3,137,13,5,0,3,23.08,0,0,0,0,3,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20122013,1,8,7,8,14,8,15,323:12,69:54,249:54,50,03:24,-3,365,59,4,2,7,11.86,0,0,0,0,7,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
