season,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus,team.name,team.link,team.id,team.abbreviation,team.teamName,team.locationName,team.firstYearOfPlay,team.shortName,team.officialSiteUrl,team.franchiseId,team.active,team.venue.id,team.venue.name,team.venue.link,team.venue.city,team.venue.timeZone.id,team.venue.timeZone.offset,team.venue.timeZone.tz,team.division.id,team.division.name,team.division.link,team.division.nameShort,team.division.abbreviation,team.conference.id,team.conference.name,team.conference.link,team.franchise.franchiseId,team.franchise.teamName,team.franchise.link,league.name,league.link,league.id
20012002,1,00:00,98,95,114,74,00:00,00:00,114,0,00:00,193,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dartmouth,/api/v1/teams/null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NSMHL,/api/v1/league/null,NA
20022003,1,00:00,90,72,NA,57,00:00,00:00,NA,0,00:00,162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shat.-St. Mary's,/api/v1/teams/4568,4568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High-MN,/api/v1/league/null,NA
20032004,1,00:00,81,54,74,59,00:00,00:00,74,0,00:00,135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QMJHL,/api/v1/league/15,15
20032004,2,00:00,3,2,4,6,00:00,00:00,4,0,00:00,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,/api/v1/teams/60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WJC-A,/api/v1/league/147,147
20042005,1,00:00,102,66,84,62,00:00,00:00,84,0,00:00,168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QMJHL,/api/v1/league/15,15
20042005,2,00:00,3,6,4,6,00:00,00:00,4,0,00:00,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,/api/v1/teams/60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WJC-A,/api/v1/league/147,147
20042005,3,00:00,5,6,6,5,00:00,00:00,6,0,00:00,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rimouski,/api/v1/teams/2920,2920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M-Cup,/api/v1/league/null,NA
20052006,1,1630:16,63,39,110,81,459:15,1119:25,110,45.49,51:36,102,1957,278,66,16,47,14.03,5,3,0,2,43,-1,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
20052006,5,00:00,8,8,10,9,00:00,00:00,10,0,00:00,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,/api/v1/teams/60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WC-A,/api/v1/league/147,147
20062007,1,1639:58,84,36,60,79,461:10,1159:27,60,49.76,19:21,120,1930,250,55,13,61,14.4,4,0,0,0,43,10,Pittsburgh Penguins,/api/v1/teams/5,5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,5034,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-4,EDT,1,Atlantic,/api/v1/divisions/1,NA,NA,1,Eastern,/api/v1/conferences/1,17,Penguins,/api/v1/franchises/17,National Hockey League,/api/v1/league/133,133
